benchmark_id,granularity,method_id,compiler_id,profile_condition,semantic_mode_off,semantic_mode_on,delta_num_semantic_classes,delta_num_intervals_total,delta_comparison_sites,delta_worst_case_depth,delta_expected_depth,delta_accept_predicate_expected_depth,delta_rollbackacc_predicate_expected_depth,delta_throughput_bytes_per_sec
BM1,coarse,B2,gcc_O2,same_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-1186265.8424422443
BM1,coarse,B2,gcc_O3,same_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-1584764.187839508
BM1,coarse,B2,gcc_Os,same_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-965558.5736284852
BM1,coarse,B2,clang_O2,same_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-673133760683.7612
BM1,coarse,B2,clang_O3,same_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-545104166666.667
BM1,coarse,B2,clang_Os,same_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-126666.64205294847
BM1,coarse,B3,gcc_O2,same_B,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-5712165.205529004
BM1,coarse,B3,gcc_O3,same_B,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-1690632.296415031
BM1,coarse,B3,gcc_Os,same_B,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-2657593.3824568093
BM1,coarse,B3,clang_O2,same_B,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,312526388888.88965
BM1,coarse,B3,clang_O3,same_B,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-312526388888.88965
BM1,coarse,B3,clang_Os,same_B,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-15823659.539205968
BM1,coarse,B4,gcc_O2,same_B,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,8562475.987109482
BM1,coarse,B4,gcc_O3,same_B,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,15312944.249348432
BM1,coarse,B4,gcc_Os,same_B,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,-7656184.91450426
BM1,coarse,B4,clang_O2,same_B,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,108704830917.875
BM1,coarse,B4,clang_O3,same_B,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,-203821557971.01465
BM1,coarse,B4,clang_Os,same_B,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,-3511381.0179467797
BM1,coarse,B5_TREE,gcc_O2,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,73321.72702097893
BM1,coarse,B5_TREE,gcc_O3,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,5916496.679259717
BM1,coarse,B5_TREE,gcc_Os,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-2020016.6024909914
BM1,coarse,B5_TREE,clang_O2,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,124595238095.23828
BM1,coarse,B5_TREE,clang_O3,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,391337391304.34766
BM1,coarse,B5_TREE,clang_Os,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-950033.9517755508
BM1,coarse,B5_DAG,gcc_O2,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,2345751.298819214
BM1,coarse,B5_DAG,gcc_O3,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-21522374.95706016
BM1,coarse,B5_DAG,gcc_Os,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-1877416.1941719651
BM1,coarse,B5_DAG,clang_O2,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,541996788438.3784
BM1,coarse,B5_DAG,clang_O3,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,391337391304.34766
BM1,coarse,B5_DAG,clang_Os,same_B,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-7135459.126368046
BM1,coarse,B1,gcc_O2,A_to_B,coarse,coarse,1,0,0,0,0.0,0.0,0.0,569364.0469266474
BM1,coarse,B1,gcc_O3,A_to_B,coarse,coarse,1,0,0,0,0.0,0.0,0.0,3580971.999545455
BM1,coarse,B1,gcc_Os,A_to_B,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-4423977.981375724
BM1,coarse,B1,clang_O2,A_to_B,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-108704830917.875
BM1,coarse,B1,clang_O3,A_to_B,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-333361481481.48145
BM1,coarse,B1,clang_Os,A_to_B,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-48922941.3776409
BM1,coarse,B2,gcc_O2,A_to_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-10931242.135834336
BM1,coarse,B2,gcc_O3,A_to_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,4459012.685463816
BM1,coarse,B2,gcc_Os,A_to_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-12046056.127476722
BM1,coarse,B2,clang_O2,A_to_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,596641287878.7876
BM1,coarse,B2,clang_O3,A_to_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-95671343537.41504
BM1,coarse,B2,clang_Os,A_to_B,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-62783750.727749825
BM1,coarse,B3,gcc_O2,A_to_B,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-20624991.243080825
BM1,coarse,B3,gcc_O3,A_to_B,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,282208.8563295901
BM1,coarse,B3,gcc_Os,A_to_B,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-13341599.060357869
BM1,coarse,B3,clang_O2,A_to_B,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-104079093432.00684
BM1,coarse,B3,clang_O3,A_to_B,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-95671343537.41504
BM1,coarse,B3,clang_Os,A_to_B,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-26418254.007544667
BM1,coarse,B4,gcc_O2,A_to_B,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-17247823.150869966
BM1,coarse,B4,gcc_O3,A_to_B,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,11340437.451085389
BM1,coarse,B4,gcc_Os,A_to_B,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-21192245.629235387
BM1,coarse,B4,clang_O2,A_to_B,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,91844489795.91797
BM1,coarse,B4,clang_O3,A_to_B,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-287258297872.3408
BM1,coarse,B4,clang_Os,A_to_B,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-10353772.126446754
BM1,coarse,B5_TREE,gcc_O2,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-3902814.4377496243
BM1,coarse,B5_TREE,gcc_O3,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,4851341.757781595
BM1,coarse,B5_TREE,gcc_Os,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-14650593.907289773
BM1,coarse,B5_TREE,clang_O2,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-442254323899.3706
BM1,coarse,B5_TREE,clang_O3,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-408197732426.3047
BM1,coarse,B5_TREE,clang_Os,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-4135333.1946475506
