benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_source,profile_condition,profile_scenario,eval_source,status,error_message,throughput_bytes_per_sec,avg_semantic_comparisons_per_visited_state
BM1,binary,binary,off,B4,clang,clang_O2,-O2,B,B_to_A,B_to_A,A,completed,,5869978260869.565,1.0
BM1,binary,binary,off,B4,clang,clang_O3,-O3,B,B_to_A,B_to_A,A,completed,,5745085106382.9795,1.0
BM1,binary,binary,off,B4,clang,clang_Os,-Os,B,B_to_A,B_to_A,A,completed,,218148341.7449185,1.0
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,uniform,uniform,uniform,A,completed,,162724197.07285795,1.0
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,uniform,uniform,uniform,A,completed,,176018570.60814047,1.0
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,uniform,uniform,uniform,A,completed,,151881482.28145933,1.0
BM1,binary,binary,off,B3,clang,clang_O2,-O2,uniform,uniform,uniform,A,completed,,5400380000000.0,1.0
BM1,binary,binary,off,B3,clang,clang_O3,-O3,uniform,uniform,uniform,A,completed,,5625395833333.333,1.0
BM1,binary,binary,off,B3,clang,clang_Os,-Os,uniform,uniform,uniform,A,completed,,230992178.47081962,1.0
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,uniform,uniform,uniform,A,completed,,163786352.70425603,1.0
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,uniform,uniform,uniform,A,completed,,174111673.81763926,1.0
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,uniform,uniform,uniform,A,completed,,153424070.65647244,1.0
BM1,binary,binary,off,B4,clang,clang_O2,-O2,uniform,uniform,uniform,A,completed,,5510591836734.693,1.0
BM1,binary,binary,off,B4,clang,clang_O3,-O3,uniform,uniform,uniform,A,completed,,5625395833333.333,1.0
BM1,binary,binary,off,B4,clang,clang_Os,-Os,uniform,uniform,uniform,A,completed,,223832134.39593613,1.0
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,156176580.48254013,4.04004064240929
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,168704199.25188076,4.04004064240929
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,144995795.4178109,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,5745085106382.9795,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5625395833333.333,4.04004064240929
